"Sp","Rep","Trtmt","HDate","ExpTray","Tray","Row","Col","Survival","Height","Branches","Lvs","WetWt","DryWt","WetLWt","DryLWt","Notes","WaterWt","LWaterWt","Analysis","X","X.1","X.2","logHeight","sqrtHeight","rankHeight","LogBranches","sqrtBranches","rankBranches","LogLvs","sqrtLvs","rankLvs","LogWetWt","sqrtWetWt","rankWetWt","LogDryWt","sqrtDryWt","rankDryWt","LogWetLWt","sqrtWetLWt","rankWetLWt","LogDryLWt","sqrtDryLWt","rankDryLWt","LogWaterWt","sqrtWaterWt","rankWaterWt","LogLWaterWt","sqrtLWaterWt","rankLWaterWt","WatC","LogWatC","sqrtWatC","rankWatC","LWatC","LogLWatC","sqrtLWatC","rankLWatC"
"Basil","1","0","9-Aug-16","1","1","6","3","1",17.4,8,16,3.63,0.4,2.36,0.024,"",3.23,2.336,3,NA,NA,NA,1.26481782300954,4.23083916026124,103.5,0.954242509439325,2.91547594742265,388,1.23044892137827,4.06201920231798,396,0.665580991017953,2.03224014329016,186.5,0.146128035678238,0.948683298050514,331,0.526339277389844,1.69115345252878,231.5,0.010299956639812,0.723878442834154,255,0.626340367375042,1.9313207915828,193,0.523226041965701,1.68404275480167,306,88.9807162534435,1.95414944586089,9.45942473163371,452,98.9830508474576,1.999926384527,9.97411905119733,992
"Basil","1","0","9-Aug-16","1","1","6","4","1",13.5,6,10,2.44,0.2,1.7,0.13,"",2.24,1.57,3,NA,NA,NA,1.16136800223497,3.74165738677394,34,0.845098040014257,2.54950975679639,173.5,1.04139268515823,3.24037034920393,90.5,0.53655844257153,1.71464281994822,58,0.0791812460476248,0.836660026534076,176.5,0.431363764158987,1.48323969741913,97,0.0530784434834197,0.793725393319377,364.5,0.510545010206612,1.65529453572468,62,0.409933123331295,1.43874945699382,108,91.8032786885246,1.96756331987383,9.60745953353563,725,92.3529411764706,1.97012800537657,9.63602309962313,588
"Basil","1","0","9-Aug-16","1","1","7","2","1",19.7,10,18,4.55,0.53,2.85,0.3,"",4.02,2.55,3,NA,NA,NA,1.31597034545692,4.49444101084885,172.5,1.04139268515823,3.24037034920393,705,1.27875360095283,4.30116263352131,447.5,0.744292983122676,2.24722050542442,323.5,0.184691430817599,1.01488915650922,471,0.585460729508501,1.83030052177231,366,0.113943352306837,0.894427190999916,581,0.700703717145019,2.12602916254693,327.5,0.550228353055094,1.7464249196573,353,88.3516483516484,1.95110256874342,9.42611523118874,391,89.4736842105263,1.95652227573422,9.48544591521802,389
"Basil","1","0","9-Aug-16","1","1","7","3","1",19.2,10,18,4.24,0.56,2.78,0.34,"",3.68,2.44,3,NA,NA,NA,1.30535136944662,4.43846820423443,154,1.04139268515823,3.24037034920393,705,1.27875360095283,4.30116263352131,447.5,0.719331286983727,2.17715410570772,287.5,0.193124598354462,1.0295630140987,494.5,0.577491799837225,1.81107702762748,341,0.127104798364808,0.916515138991168,642,0.670245853074124,2.04450483002609,283,0.53655844257153,1.71464281994822,333,86.7924528301887,1.94345718293248,9.34304301767838,275.5,87.7697841726619,1.94826516397474,9.39520006027875,296
"Basil","1","0","9-Aug-16","1","1","7","4","1",13.5,8,14,3.7,0.37,2.46,0.24,"",3.33,2.22,3,NA,NA,NA,1.16136800223497,3.74165738677394,34,0.954242509439325,2.91547594742265,388,1.17609125905568,3.80788655293195,330.5,0.672097857935718,2.04939015319192,201,0.136720567156407,0.932737905308881,301.5,0.539076098792777,1.72046505340853,265.5,0.0934216851622351,0.860232526704263,506,0.636487896353365,1.95703857907809,210.5,0.507855871695831,1.64924225024706,273.5,90,1.95904139232109,9.51314879522022,562,90.2439024390244,1.96020385147847,9.52595939730085,429.5
"Basil","1","0","9-Aug-16","1","1","8","1","1",16.4,8,16,3.87,0.52,2.44,0.35,"",3.35,2.09,3,NA,NA,NA,1.2405492482826,4.11096095821889,84.5,0.954242509439325,2.91547594742265,388,1.23044892137827,4.06201920231798,396,0.687528961214634,2.09045449603669,227.5,0.181843587944773,1.00995049383621,460,0.53655844257153,1.71464281994822,259.5,0.130333768495006,0.921954445729289,656,0.638489256954637,1.96214168703486,214.5,0.489958479424835,1.60934769394311,231.5,86.5633074935401,1.94232215763624,9.3307720738179,257,85.655737704918,1.93779732378492,9.28201151178547,208
"Basil","1","0","9-Aug-16","1","1","8","2","1",22.1,12,33,7.8,1.19,5.03,0.78,"",6.61,4.25,3,NA,NA,NA,1.36361197989214,4.75394572960189,278.5,1.11394335230684,3.53553390593274,1006.5,1.53147891704226,5.78791845139511,925.5,0.944482672150169,2.88097205817759,562,0.340444114840118,1.3,970.5,0.780317312140151,2.35159520326097,715.5,0.250420002308894,1.13137084989848,1122,0.881384656770573,2.66645832519468,531,0.720159303405957,2.17944947177034,636,84.7435897435898,1.93320166174048,9.23274551493703,178,84.493041749503,1.93193076908176,9.21916708545316,176
"Basil","1","0","9-Aug-16","1","1","8","3","1",23.4,10,30,6.78,1.14,4.44,0.41,"",5.64,4.03,3,NA,NA,NA,1.38738982633873,4.88876262463213,342.5,1.04139268515823,3.24037034920393,705,1.49136169383427,5.52268050859363,813,0.890979596989689,2.69814751264641,498.5,0.330413773349191,1.28062484748657,941,0.73559889969818,2.22261107708929,617,0.14921911265538,0.953939201416946,742,0.822168079368018,2.47790233867277,465,0.701567985055927,2.12837966537928,602,83.1858407079646,1.92523905326333,9.14799654066204,126,90.7657657657658,1.9626806930535,9.55331176952609,463
"Basil","1","0","9-Aug-16","1","1","8","4","1",17.9,10,22,3.56,0.47,2.4,0.29,"",3.09,2.11,3,NA,NA,NA,1.27646180417324,4.28952211790544,116,1.04139268515823,3.24037034920393,705,1.36172783601759,4.74341649025257,540,0.658964842664435,2.01494416796099,176,0.167317334748176,0.98488578017961,401.5,0.531478917042255,1.70293863659264,243.5,0.110589710299249,0.888819441731559,570,0.611723308007342,1.89472953214964,173.5,0.492760389026837,1.61554944214035,237.5,86.7977528089888,1.94348340024385,9.34332664573966,277,87.9166666666667,1.94898317337685,9.40301370129102,302
"Basil","1","0","9-Aug-16","1","1","9","1","1",13.1,6,10,3.49,0.5,2.47,0.34,"",2.99,2.13,3,NA,NA,NA,1.14921911265538,3.68781778291716,31,0.845098040014257,2.54950975679639,173.5,1.04139268515823,3.24037034920393,90.5,0.652246341003323,1.99749843554382,161,0.176091259055681,1,440.5,0.540329474790874,1.72336879396141,268.5,0.127104798364808,0.916515138991168,642,0.600972895686748,1.86815416922694,160,0.495544337546448,1.62172747402269,244,85.6733524355301,1.93788559494962,9.28296032715481,213,86.2348178137652,1.94068985839987,9.31315294697586,228
